t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
21384.283767210007,540205887826781.5,1375971581825.1626,1649444807956.756,173646118601507.12,1375924847549.9036,1598793571040.9778,-3196847.9543144144,7040031513.19929,-21245465.656708855,3.502370831505424e-39,-49137289461.03899,392.73067810115657,11837880.003889432
24522.712143931007,573180246731700.8,2056549527355.9019,2902073938373.489,176999417794217.06,2056479438809.2153,2810486704079.3193,-6157601.721674309,7208965544.71753,-31346276.886577904,1.395797778471907e-38,-49258901090.92439,392.73067810115657,18208361.94590584
27974.98335832411,606325548668899.1,2912080453713.9536,4789800693723.402,180141875040907.6,2911980877417.43,4634548300092.573,-10746478.770649796,7365123530.904924,-43517553.16199822,2.633159466061049e-38,-49368208391.65087,392.73067810115657,26290029.53926638
31772.481694156522,639592226076585.6,3946893420452.8174,7503060003559.674,183097817566500.78,3946758015535.123,7253420179924.817,-17293127.82000428,7510072038.227758,-57549779.38325995,2.805435060230873e-38,-49467285720.097595,392.73067810115657,36031138.3073976
35949.729863572175,672911207007512.2,5160405605683.287,11252795260238.809,185884834593911.78,5160227989617.35,10868689468386.475,-25998916.20870004,7644931791.106119,-73134142.09533344,2.4638154760133527e-38,-49557731436.587265,392.73067810115657,47271602.817547515
40544.702849929396,706200663657646.5,6548601936336.667,16267189589438.764,188515346999346.4,6548375802097.668,15697859140388.666,-36899944.52213992,7770482659.440231,-89894868.79405311,5.876620944570789e-37,-49640798680.472305,392.73067810115657,59761781.35383266
45599.17313492234,739372392410538.0,8105668523931.771,22788583052375.96,190997883380746.56,8105387702352.824,21971319223009.383,-49861389.69753169,7887251495.252896,-107422256.87999985,8.436602057614902e-36,-49717483928.93525,392.73067810115657,73188215.75284185
51159.09044841458,772337863318876.4,9825596331750.521,31070839720595.324,193338185670076.9,9825254799067.973,29929765051670.19,-64601710.01861731,7995589629.052879,-125302746.68768294,7.602835199170668e-35,-49788588478.08453,392.73067810115657,87202472.53437355
57274.999493256044,805013817583245.0,11703626484089.057,41377370353103.92,195540191941460.53,11703218319141.352,39822248911593.445,-80738305.46321827,8095741933.493227,-143143981.00015748,5.17477886247085e-34,-49854762225.80173,392.73067810115657,101449809.86022913
64002.499442581655,837327190984540.2,13737453370638.193,53979975916420.92,197606898615782.03,13736972669217.354,51905010484574.48,-97842967.08242667,8187906595.7789345,-160594085.52990618,2.843312165579962e-33,-49916535753.88968,392.73067810115657,115595033.17516914
