t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,9899553004408.223,28656793077599.918,82954677182944.28,121511023264952.38,2535612307546.7285,0.0,53804842.270794675,2535666112389.002,3093477363132.944,0.0,10049614930.987955,3103526978063.9053,-4359235085.6952505,-314298780.2482512,-35408.77851488492,-832850718.377613,-114897324.52541037,-785170639.389351
7560.0,8185214923123.31,23694217828818.62,68589569753179.48,100469002505121.94,2134774588338.7246,0.0,45299200.38755876,2134819887539.1248,3015886668583.3794,0.0,9797549964.03447,3025684218547.4146,-3601270687.9010277,-274133914.04876924,-34832.15999869119,-453227759.50777787,-108097427.73510128,-711187639.9815117
11916.0,6778648382304.748,19622557584269.973,56803242681411.35,83204448647988.03,1525222718692.5642,0.0,32364714.26956812,1525255083406.8328,2344095267349.6133,0.0,7615137696.151667,2351710405045.762,-2848896690.644248,-237209912.7298253,-34093.71668538259,-307051361.0233421,-85863026.11247824,-570751571.4648021
16707.600000000002,5584650182844.942,16166226267919.645,46798035966700.9,68548912417466.27,1061663845891.4219,0.0,22528150.548618976,1061686374041.9735,1671630812254.5808,0.0,5430538574.964152,1677061350829.5396,-2242469786.6628666,-201626367.73310867,-33157.76434709116,-228028120.93207288,-62017435.99191023,-412633909.5843128
21978.360000000004,4559326632933.157,13198164246995.686,38206188253248.69,55963679133178.17,740581857690.398,0.0,15714898.505392374,740597572588.9036,1162952218114.5356,0.0,3778021549.761324,1166730239664.3022,-1763577239.4226482,-167705715.0012585,-31986.849659661613,-177054797.04242447,-43216240.29058797,-287272861.3624073
27776.196000000007,3678433943677.0454,10648192767285.254,30824575458338.78,45151202169301.695,520524586597.7372,0.0,11045357.057381045,520535631954.79553,808330621958.1869,0.0,2625981168.986776,810956603127.1675,-1382104501.8661144,-136297367.5634401,-30545.8602067192,-140490061.87343115,-29929804.15625795,-198830438.07225403
34153.81560000001,2926243398143.0767,8470781745985.03,24521416200431.39,35918441344560.02,367850555570.8177,0.0,7805665.351469751,367858361236.1677,564616065335.6403,0.0,1834238557.0528364,566450303892.6932,-1075151600.781722,-108186865.4795058,-28807.404918488573,-112319865.64431931,-20804384.929942247,-138182533.49924228
41169.19716000001,2290750631163.788,6631181968001.213,19196131749954.965,28118064349120.18,260170868721.40607,0.0,5520738.530202085,260176389459.93588,395500327859.62067,0.0,1284841165.8861117,396785169025.50616,-827105990.4959593,-83868935.51169887,-26758.370620079426,-89555465.71715759,-14508526.962561106,-96372556.38987419
48886.116876000015,1761370648984.883,5098752802135.056,14760033101144.67,21620156552264.582,183254713497.5605,0.0,3888603.5267471033,183258602101.08633,276524411684.24304,0.0,898330360.1908976,277422742044.43274,-627207038.8461962,-63503206.40346747,-24407.06976832427,-70653492.5905062,-10107511.149131382,-67153640.61705007
57374.72856360002,1327808905496.6719,3843694278739.77,11126862001147.576,16298365185383.924,127973079770.32327,0.0,2715545.8096155664,127975795316.13263,192035999159.16138,0.0,623857289.1152519,192659856448.27573,-467528588.8715285,-46961666.55187113,-21789.602163883726,-54819212.396552995,-6999206.737242981,-46516811.5653238
66712.20141996004,979582305382.2777,2835660533763.716,8208777760752.731,12024020599898.795,88262204541.85991,0.0,1872894.3628120716,88264077436.22261,131887502697.24062,0.0,428456022.79841095,132315958720.0383,-341724796.2568817,-33911382.8357425,-18973.35857714457,-41633779.34325052,-4795847.43191528,-31885310.351768546
76983.42156195606,705937093154.9713,2043522136036.2947,5915669698253.067,8665128927444.313,59920111117.33141,0.0,1271484.6509224921,59921382601.98238,89243462505.23233,0.0,289920564.1318506,89533383069.36397,-244354369.53378952,-23899934.425248712,-16055.465976803476,-30837980.477984987,-3238958.6602670527,-21543406.27387238
88281.76371815166,496012563446.4821,1435840005670.8208,4156529436038.601,6088382005155.953,39922515043.41648,0.0,847142.3726968861,39923362185.78887,59304752760.142296,0.0,192660245.92197856,59497413006.06418,-170563045.39852166,-16427671.665373228,-13154.757497111586,-22212080.81804385,-2148873.21335256,-14299306.71748747
100709.94008996684,339141196151.5309,981734248247.768,2841966362934.972,4162841807334.274,26032449289.90156,0.0,552399.8384034308,26033001689.73999,38589488156.98194,0.0,125363650.46298593,38714851807.44508,-115966604.01027279,-11001247.698949467,-10397.571215063372,-15520426.374091348,-1396298.1168650228,-9295693.563132608
114380.93409896354,225197792618.1893,651894833631.8003,1887133668126.1975,2764226294376.189,16570061166.513851,0.0,351611.13765396096,16570412777.651354,24520126165.60617,0.0,79657250.65980388,24599783416.26596,-76634817.23076807,-7168575.579662369,-7899.87408989857,-10497936.774201082,-886129.0627630481,-5901982.047951326
129419.0275088599,144927862671.3917,419532208785.71204,1214480444013.2312,1778940515470.3562,10269087178.59758,0.0,217906.58400451427,10269305085.181532,15174049480.184196,0.0,49295140.49582478,15223344620.680103,-49115359.41555568,-4538068.36042978,-5749.968054528241,-6860126.846193455,-547780.5985460378,-3650037.2556411936
145960.93025974592,90204198141.60237,261120025218.20547,755901941633.2324,1107226164993.0417,6180640595.402212,0.0,131151.11944051625,6180771746.521647,9121692618.184427,0.0,29633165.496845633,9151325783.681269,-30461089.948397048,-2785930.171034524,-3996.420966255402,-4322729.095990168,-328979.83445827937,-2192997.344196966
164157.02328572053,54181099688.95682,156841594672.06012,454032116090.9035,665054810451.9202,3603487096.4390225,0.0,76464.7869897768,3603563561.2260103,5312756300.615518,0.0,17259273.400758184,5330015574.016245,-18240376.91646579,-1655185.9431566945,-2644.4620072185144,-2621531.4245811417,-191449.50900836033,-1276694.1995344043
184172.7256142926,31336681550.290787,90712354880.78456,262598229231.05475,384647265662.129,2029965208.1529717,0.0,43075.18053596954,2030008283.3335042,2990260668.9595637,0.0,9714303.370979887,2999974972.330553,-10521816.466887832,-949583.9438742255,-1661.3589105181497,-1527169.0735738515,-107678.91425654633,-718308.6120103598
206189.99817572188,17412552795.655083,50405263023.59328,145915441640.70276,213733257459.95078,1102078610.4678469,0.0,23385.738297426797,1102101996.2061436,1622235664.2458823,0.0,5270072.120489632,1627505736.366377,-5833260.403017611,-524800.807555364,-988.4337810053914,-852907.9672988936,-58380.11014733149,-389561.8502333416
230408.9979932941,9274327236.133263,26847005746.54383,77717931704.46057,113839264687.13655,575139044.2706721,0.0,12204.257524096807,575151248.5281999,846064536.5574126,0.0,2748565.590666282,848813102.1480737,-3100850.020755498,-278703.9415864526,-555.6229820434091,-455754.3945082861,-30431.3681839001,-203117.60584215625
257049.89779262352,4723997539.535373,13674866764.381237,39586625967.98504,57985490271.903175,287770507.43826985,0.0,6106.393602734002,287776613.8318733,423103973.156472,0.0,1374515.739294475,424478488.89576775,-1576802.8676031046,-141858.99518758224,-294.4667703018394,-232534.75528815165,-15211.273515602761,-101552.46381241518
