t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,681214067945.1364,22516793262435.625,126051346020393.61,149249353350775.62,-5091862727.384966,0.0,-188792.3166354914,-5092051519.701614,1713093107491.4397,0.0,49308999883.05715,1762402107374.5005,-29989889.197073184,-2855576.0557683245,-277.69350510269254,-20080352.892396823,-12055403.398949673,-124632201.34210278
7560.0,679143954498.0538,22448368019432.38,125668318688100.52,148795830662030.3,166528690752.81516,0.0,6174427.505754758,166534865180.32156,1333745444902.8447,0.0,38390009473.27016,1372135454376.1047,-42716455.86552177,-2845722.03591712,-277.6679721873364,-18783188.09302469,-10182370.519210767,-69938079.96588568
11916.0,676937393046.7198,22375432762797.957,125260042841342.17,148312412997186.22,246185195312.49832,0.0,9127872.407537859,246194323184.90564,1118154934146.742,0.0,32184537901.41241,1150339472048.156,-48263122.19022783,-2835182.7186444,-277.6401133993961,-17624174.21885634,-8047071.343909934,-47289939.02536869
16707.600000000002,674582676506.8981,22297600417078.793,124824354206581.17,147796537300165.88,278277596947.73083,0.0,10317770.715414492,278287914718.4472,990899909579.9716,0.0,28521678747.929268,1019421588327.8958,-50231393.41614913,-2824059.0308410083,-277.60964331413135,-16579380.41743735,-6333135.03360898,-35861696.64161421
21978.360000000004,672067506482.4827,22214464473298.355,124358977218368.78,147245509198149.22,287714090591.412,0.0,10667650.040276699,287724758241.4519,911274109771.0396,0.0,26229760021.467537,937503869792.5111,-50579292.83133933,-2812431.3267374495,-277.57624407080806,-15629200.868644571,-5150839.566851805,-29747623.82013352
27776.196000000007,669379148529.6162,22125604009241.652,123861555609915.44,146656538767689.22,286818368474.9642,0.0,10634439.118749028,286829002914.0834,856889776421.7463,0.0,24664381689.727913,881554158111.4722,-50229903.96707675,-2800359.229842639,-277.5395670906731,-14757713.293257287,-4388614.966335566,-26334231.937581975
34153.81560000001,666504423163.4916,22030583392235.523,123329650752975.08,146026738568375.4,281400557324.0182,0.0,10433561.527984098,281410990885.5457,815630336331.0371,0.0,23476785250.32405,839107121581.3596,-49593441.9173751,-2787882.563090885,-277.4992296674676,-13952109.369516574,-3904943.7263288014,-24272930.059960578
41169.19716000001,663429679530.4618,21928951408925.152,122760736787800.22,145353117876255.66,274088949710.32492,0.0,10162467.15407411,274099112177.47778,781145714351.1562,0.0,22484192721.38597,803629907072.5432,-48843176.58855063,-2775023.060924659,-277.45481057540974,-13202192.848725261,-3588796.1704629282,-22868103.85214328
48886.116876000015,660140764258.686,21820240235666.617,122152194859519.61,144632575859443.28,266022938338.40924,0.0,9863401.556155384,266032801739.9648,750223355698.0648,0.0,21594135219.39847,771817490917.4598,-48047807.748483725,-2761786.550409935,-277.4058448412694,-12499937.601311155,-3366928.0717118313,-21776363.304491207
57374.72856360002,656622988834.7582,21703964360191.715,121501307080810.11,143861894429836.03,257676442370.2473,0.0,9553936.358043246,257685996306.60544,721289157215.7747,0.0,20761304370.494057,742050461586.2708,-47232445.414968565,-2748165.2908578343,-277.35181788057207,-11839096.890039228,-3195746.8458886305,-20836085.285489716
66712.20141996004,652861097791.7124,21579619530080.367,120805250644009.64,143037731271881.03,249239850861.90945,0.0,9241130.664200312,249249091992.57358,693588715192.7115,0.0,19963985682.766468,713552700875.4778,-46405310.83780826,-2734140.1970701874,-277.29215917095655,-11214856.774811437,-3051248.3567405576,-19974095.95602283
76983.42156195606,648839239981.2769,21446681803179.973,120061092503426.0,142156613546588.03,240788273397.8801,0.0,8927769.332190251,240797201167.21103,666760203248.815,0.0,19191764443.48107,685951967692.2899,-45568639.74633259,-2719682.743519404,-277.2262355291833,-10623529.542254498,-2921030.8338969494,-19157964.03933759
88281.76371815166,644540945333.4563,21304606779393.938,119265785072686.19,141214932797414.28,232351964484.41626,0.0,8614974.11619523,232360579458.5301,640621923715.0732,0.0,18439410691.410305,659061334406.4844,-44722763.13891949,-2704756.444609083,-277.1533438938189,-10062286.109486373,-2798990.6710418477,-18373147.095645834
100709.94008996684,639949109501.6145,21152829093118.855,118416163380954.1,140208941583575.23,223944533391.44934,0.0,8303249.6106490055,223952836641.05966,615072280425.1732,0.0,17704000079.725246,632776280504.903,-43867486.67339254,-2689317.905335839,-277.072703332157,-9528928.352983002,-2682194.547650584,-17612662.686339844
114380.93409896354,635045988565.6035,20990762238133.13,117508944090104.25,139134752316803.78,215573933042.81857,0.0,7992890.688172297,215581925933.50717,590045914131.3119,0.0,16983651298.600306,607029565429.91,-43002509.65938864,-2673317.509275503,-276.9834458345561,-9021702.657037757,-2569208.4621840776,-16872677.715183057
129419.0275088599,629813205554.8636,20817798783186.51,116540726698961.66,137988338687702.0,207246723543.85983,0.0,7684140.579493289,207254407684.44073,565496273238.6638,0.0,16277024399.086596,581773297637.7507,-42127544.2331782,-2656699.838452131,-276.8846053734894,-8539154.709674135,-2459281.997444628,-16150739.567336546
