t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,1826722687.5885746,7383688188779.046,143088624384323.47,150474139295789.1,-262698669949.8296,0.0,-32187830.114593618,-262730857779.9464,819803816663.8939,0.03594123461189879,1843938127372.5486,2663741944036.488,524372.0841595819,-1625.7300459910518,-160.84630712476294,-0.014687056493543418,-1144.4687722891315,-63346.190151090894,-1846691.469912984
105.0,4415298699.777926,8445128342169.416,141959708600628.1,150409252241497.12,-303012033895.89813,0.0,-31228899.96805096,-303043262795.8662,1232040955767.9795,0.03594123461189879,1430113491841.146,2662154447609.166,1078402.4712952788,-7125.310259224896,-712.3817622607705,-0.06726273807495645,-4838.170848933246,-180645.78803475655,-5257814.936690169
165.5,11057899265.499304,10173676390629.207,140222937881237.8,150407672171133.8,-303986959836.8706,0.0,-26370604.83372138,-304013330441.7055,1661270762565.8625,0.03594123461189879,997935973391.5209,2659206735957.4365,1893923.6803568664,-32343.106122778594,-3233.710124122489,-0.3053518314606971,-21959.081722048944,-461331.5790213568,-13365372.11014427
232.05,27404872491.02404,12203743989851.834,138177438058778.77,150408586921121.12,-302084755982.9272,0.0,-22090335.73412346,-302106846318.6588,2021423286561.522,0.03594123461189879,631953541951.615,2653376828513.168,3237307.5702677215,-144542.5098469326,-14451.516797917351,-1.3646249744740608,-98134.94073693115,-1058880.8659389836,-30329106.05304988
305.25500000000005,66918391280.39811,14559778201657.504,135782517624389.52,150409214217328.78,-298656272587.8749,0.0,-18450868.78713767,-298674723456.66235,2269918114587.8125,0.03594123461189879,372465871074.33887,2642383985662.1846,5441380.818446939,-631607.3795413797,-63148.51793480161,-5.96300136570034,-428806.01796831004,-2230727.9731258964,-62314555.32737921
385.7805000000001,160317884364.2108,17255456659187.227,132993180312655.16,150408954856205.72,-293706664705.0446,0.0,-15374474.975523733,-293722039180.0195,2412874352725.4136,0.03594123461189879,210142003365.71124,2623016356091.1343,9117179.125673316,-2680613.7784600058,-268006.7092980763,-25.307890934103597,-1819642.4781329893,-4422521.590903168,-117632397.35341702
474.35855000000015,375233918137.7239,20285378632040.176,129744771433902.97,150405383984083.4,-286881438617.07245,0.0,-12769809.782747976,-286894208426.85583,2474956584550.2124,0.03594123461189879,115981560455.33961,2590938145005.582,15273646.805937909,-10978259.468594866,-1097558.2524714537,-103.65163575814424,-7447517.5646366775,-8415876.343228692,-205595187.90760797
571.7944050000002,854263312433.3522,23610742189221.008,125923372848283.34,150388378349938.34,-271907505262.27762,0.0,-10335023.50084958,-271917840285.77777,2474649902222.29,0.03594123461189879,63402819881.36103,2538052722103.679,24660861.10868102,-43103494.568584725,-4308578.432329385,-407.04971337155285,-29162255.410364456,-15537025.41746721,-333576140.7237803
678.9738455000003,1063053602935.8334,24554514333059.742,124743617328726.14,150361185264722.6,-251079424661.2895,0.0,-9148556.99572944,-251088573218.28458,2426691395619.1167,0.03594123461189879,52900718000.70172,2479592113619.8574,26306328.411358517,-62049018.069690816,-6200715.794889615,-586.1588827013986,-41803637.712084204,-18338095.542165864,-346784514.4446024
796.8712300500003,1062842262978.8308,24549633454909.36,124718805724070.25,150331281441957.62,-226455155359.73077,0.0,-8251324.848944093,-226463406684.5789,2369051833647.287,0.03594123461189879,51644202309.91318,2420696035957.2583,23778240.34897572,-62026063.0910014,-6196624.277462288,-586.1564226408981,-41597303.52573969,-18403481.298027087,-311331515.1258103
926.5583530550005,1062610167847.6554,24544272518502.73,124691572239376.34,150298454925724.34,-197085813997.41873,0.0,-7181196.964787477,-197092995194.38333,2309195226845.309,0.03594123461189879,50339357654.07294,2359534584499.419,20698347.460868873,-62001033.2382625,-6192149.628109948,-586.1536867052109,-41374366.77582045,-18472603.762945116,-282152242.41389847
1069.2141883605007,1062355547388.03,24538391291745.316,124661695685399.02,150262442524532.28,-163665987374.71255,0.0,-5963481.936603356,-163671950856.64975,2247202978824.714,0.03594123461189879,48987956980.67786,2296190935805.4253,17143905.74336513,-61973766.798470944,-6187261.189207856,-586.1506540880061,-41133865.145258926,-18576365.92143405,-257454021.8885761
