t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,3677777977972.426,29142546448299.547,110810009425569.95,143630333851842.25,954772317713.1649,0.0,25518774.146458235,954797836487.3131,1872760692745.9045,0.0,14995454631.973166,1887756147377.874,-729233885.3006382,-49263805.77725655,-4964.809736615467,-232308478.57543796,-36828213.23901529,-280275785.7891957
7560.0,3534611688755.304,28008108198836.973,106496698224142.22,138039418111736.06,1194676189319.7083,0.0,31930829.25133491,1194708120148.9543,2009193224734.5457,0.0,16087885959.911222,2025281110694.4622,-760081330.5889373,-47678356.17271147,-4956.447097297733,-167346153.29945233,-32393448.10165881,-203222656.30177602
11916.0,3396813538740.274,26916206184602.79,102345095872393.4,132658115595735.61,1157209059754.5823,0.0,30929422.738991722,1157239989177.3203,2077842283434.4805,0.0,16637567153.574766,2094479850588.0647,-729766984.0416771,-46310996.81836543,-4946.963668761553,-131447373.99159215,-31222443.402734563,-201191028.25217575
16707.600000000002,3261451423626.479,25843606661170.227,98266864943958.75,127371923028755.66,1049856705331.5863,0.0,28060151.77820899,1049884765483.3585,1999951964223.6445,0.0,16013888778.03664,2015965853001.6697,-684765496.050985,-45040762.64202127,-4936.190856694546,-108271375.66971369,-29935088.34407204,-196777775.62620088
21978.360000000004,3126903192889.153,24777455849173.332,94213133876703.23,122117492918766.48,930575707752.6147,0.0,24872056.795150444,930600579809.4083,1831800533211.074,0.0,14667477898.088943,1846468011109.1611,-637597961.5209535,-43803411.90480855,-4923.936078198428,-91826537.57573399,-27668813.19809349,-182958239.72439387
27776.196000000007,2992191052859.045,23710005797245.492,90154444078608.72,116856640928712.83,817042404231.7355,0.0,21837583.888801824,817064241815.6268,1629892571592.9917,0.0,13050773906.787905,1642943345499.781,-592018963.8186959,-42560864.50612825,-4909.969958748836,-79400050.4290517,-24786457.088421263,-164013947.8318741
34153.81560000001,2856710698426.604,22636468045245.88,86072589305677.48,111565768049349.3,714685576440.294,0.0,19101831.372974973,714704678271.6671,1428448049554.9385,0.0,11437780572.767414,1439885830127.7102,-549161007.4293467,-41287143.93803948,-4894.0192973409,-69580694.69910897,-21779043.651424438,-144035291.08759084
41169.19716000001,2720104402554.4976,21554007997319.633,81956792181781.22,106230904581653.84,624493977921.51,0.0,16691226.258538172,624510669147.7699,1243426372923.6248,0.0,9956287007.597149,1253382659931.2266,-509188827.34236455,-39962158.76958269,-4875.759419876398,-61561033.668259345,-18951338.771635648,-125258009.36355785
48886.116876000015,2582196295030.533,20461232077318.168,77801754344806.55,100845182717155.7,545699036887.2801,0.0,14585226.46498742,545713622113.7435,1079916928783.4323,0.0,8647044664.774374,1088563973448.2081,-471878433.0366872,-38569004.83838751,-4854.804244277456,-54845236.1200127,-16428965.383689484,-108537284.43314901
57374.72856360002,2442957775599.162,19357913666473.3,73606614473003.06,95407485915076.23,476925737691.96185,0.0,12747081.121976297,476938484773.0839,937664429055.1388,0.0,7508009465.224944,945172438520.3688,-436878743.9268402,-37093052.64901436,-4830.693709285834,-49111509.0932594,-14231383.291656837,-93988891.0009046
66712.20141996004,2302488637062.8276,18244843525463.113,69374379614212.945,89921711776738.88,416726926635.4479,0.0,11138111.281962875,416738064746.72723,814329515528.7029,0.0,6520449887.768339,820849965416.4658,-403837990.02499175,-35522088.90106042,-4802.878832257408,-44141506.09145321,-12330666.482832205,-81416439.26106481
76983.42156195606,2161006632867.579,17123747129775.389,65111610924394.12,84396364687037.39,363808343290.8612,0.0,9723724.467891295,363818067015.32837,707128366272.5629,0.0,5662075518.36972,712790441790.9332,-372457898.1741169,-33847100.19361298,-4770.704993012909,-39781474.21637264,-10684964.759076731,-70536831.49958211
88281.76371815166,2018841411868.6108,15997236610142.42,60828240975075.83,78844318997087.5,317093994004.6187,0.0,8475161.950060952,317102469166.5682,613517520773.645,0.0,4912520540.586685,618430041314.2327,-342509340.065098,-32063367.09029683,-4733.3940714509845,-35919501.52921001,-9253690.214061309,-61078667.24459784
100709.94008996684,1876430272449.4927,14868777109286.64,56537445869611.58,73282653251347.47,275717646255.91125,0.0,7369271.410758055,275725015527.3196,531393094082.9205,0.0,4254938873.194752,535648032956.114,-313829900.9032718,-30171564.456060845,-4690.02594873872,-32471413.861296028,-8002628.840191606,-52814251.90858074
114380.93409896354,1734313976887.1946,13742653615957.547,52255519170118.87,67732486762963.79,238987834377.69547,0.0,6387571.63110885,238994221949.32697,459081186970.2188,0.0,3675927385.1511297,462757114355.36884,-286314875.3542464,-28178605.041481648,-4639.519939232463,-29371607.34010884,-6904485.820727741,-45562285.681377314
129419.0275088599,1593131299361.4175,12623927764359.457,48001707666579.18,62218766730299.56,206349324510.3658,0.0,5515222.541714052,206354839732.90732,395260755143.8477,0.0,3164908300.345751,398425663444.19727,-259907210.7011444,-26098030.306573533,-4580.617223650293,-26566938.054902397,-5937820.771007605,-39180441.88010595
145960.93025974592,1453611226084.6934,11518376029013.533,43797976401763.38,56769963656861.42,177349946838.12247,0.0,4740138.727877002,177354686976.8494,338880109206.85425,0.0,2713460602.254807,341593569809.11,-234588432.8244274,-23949837.37791469,-4511.866401474336,-24012724.555082284,-5085697.360393242,-33556298.62825545
164157.02328572053,1316561873080.2832,10432401910287.29,39668674794325.734,51417638577693.52,151614794548.8907,0.0,4052299.8296831204,151618846848.72098,289087551484.86584,0.0,2314764634.1150537,291402316118.97925,-210370887.30693412,-21759720.254462004,-4431.6158344303985,-21670369.592446093,-4334517.829013304,-28599585.438372586
184172.7256142926,1182855307093.768,9372915656332.287,35640079315211.81,46195850278637.61,128827032021.62085,0.0,3443237.5908761974,128830475259.21182,245179202891.85834,0.0,1963184341.874402,247142387233.73135,-187290975.52757996,-19557784.44306966,-4338.018419766041,-19506274.24772399,-3673138.0783424494,-24236316.02796825
206189.99817572188,1053407620225.6886,8347176375419.919,31739793146280.316,41140377141925.88,108713820512.46297,0.0,2905659.686205667,108716726172.14871,206561208238.7943,0.0,1653964647.1759098,208215172885.96866,-165402930.56787232,-17376858.15581142,-4229.056678661949,-17491725.31144562,-3092227.7263422078,-20404550.65677931
230408.9979932941,929153887110.2039,7362593597406.68,27995991633442.38,36287739117958.875,91035936073.34782,0.0,2433172.2332905186,91038369245.58076,172722490031.98938,0.0,1383013283.4645495,174105503315.45386,-144772753.19016302,-15250565.075347736,-4102.598319823973,-15603383.22928618,-2583811.764642207,-17051362.783840172
257049.89779262352,811018070565.3674,6426488806656.506,24436515517634.832,31674022394856.78,75579953663.03433,0.0,2020070.892653189,75581973733.92667,143214802264.25668,0.0,1146741084.0851817,144361543348.3412,-125472072.29659547,-13211342.107881904,-3956.4942267963943,-13823958.684694093,-2140937.8985514813,-14130638.553421758
286354.8875718859,699878542678.0261,5545822231389.738,21087832038124.484,27333532812192.516,62152194594.45383,0.0,1661179.0975036335,62153855773.55148,117637733304.55031,0.0,941941898.4557142,118579675203.0058,-107571854.73538826,-11288581.87948028,-3788.731188328008,-12142686.772943493,-1757428.7964675555,-11601438.581121812
318590.3763290745,596530608068.6937,4726895878003.603,17973905692164.945,23297332178237.4,50573922546.74138,0.0,1351719.6546625292,50575274266.395874,95627122305.5088,0.0,765699840.7217441,96392822146.22995,-91136048.14053781,-9507057.241063343,-3597.6492104035165,-10555300.247828811,-1427692.5545112453,-9426744.48959202
354049.413961982,501648162589.84576,3975049714275.9956,15115042930013.914,19591740806879.848,40677509419.28939,0.0,1087212.2670361416,40678596631.556175,76845997571.5682,0.0,615316732.0787436,77461314303.64656,-76215385.82031727,-7885748.085161922,-3382.226088441028,-9063349.474122051,-1146575.7034798753,-7572485.425256276
393054.35535818024,415747270551.3846,3294373054722.179,12526794646528.152,16236914971801.727,32303464535.173294,0.0,863394.1313489218,32304327929.304604,60977604543.08871,0.0,488256274.92470086,61465860818.01313,-62841699.7412862,-6437144.312714664,-3142.418332900649,-7672881.247696017,-909250.8462334791,-6006791.294442179
435959.7908939983,339154864765.9548,2687456538986.3706,10219013023203.354,13245624426955.678,25298320012.194923,0.0,676163.4191832395,25298996175.614124,47720366117.26403,0.0,382103699.4918927,48102469816.75588,-51023159.71154924,-5167048.157832712,-2879.5268726764507,-6392633.773099619,-711135.6542210523,-4699450.605465663
483155.76998339815,271985850098.98105,2155210699493.0793,8195161577176.657,10622358126768.729,19513391987.40971,0.0,521546.16748208174,19513913533.577,36784723817.2396,0.0,294540470.6846641,37079264287.92431,-40740869.81516499,-4074849.801833066,-2596.530139442395,-5232002.341478156,-547841.8166690347,-3621563.7505431916
535071.346981738,214131543949.0312,1696774362910.2388,6451966810418.527,8362872717277.81,14804405544.840828,0.0,395686.25376646314,14804801231.094662,27891780846.085377,0.0,223333422.85551617,28115114268.940918,-31947199.373442847,-3154207.6341040013,-2298.3021951731994,-4199066.441552263,-415152.26104895305,-2745381.3514638725
592178.4816799118,165261591321.79553,1309529824343.581,4979475874200.076,6454267289865.385,11031904794.64537,0.0,294856.35656802874,11032199651.002014,20773560697.20235,0.0,166336830.56309643,20939897527.7653,-24566106.310243778,-2394033.2002440724,-1991.6200524319538,-3298946.231849831,-309023.4233354599,-2044307.5553972723
654996.3298479031,124840288699.401,989232196930.9031,3761548400494.8906,4875620886125.218,8062295734.8793335,0.0,215485.82862288746,8062511220.707969,15174565200.184984,0.0,121504884.08831643,15296070084.273298,-18495536.141413793,-1779663.7944525685,-1684.8751890347194,-2532687.7288961885,-225607.45579569152,-1493035.8460229165
