t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,3218050147.9052134,8056864283770.151,142374937628842.6,150435019962762.06,-287118784749.0483,0.0,-31489141.100197554,-287150273890.1494,1077146588910.161,0.03594123461189879,1585896580662.6694,2663043169572.8877,834719.1144223135,-4193.453152780371,-417.573558365707,-0.03892969917754549,-2887.773770542299,-125441.74640773605,-3655159.6849790495
105.0,13156596728.936611,10535708426339.008,139859018099236.38,150407883122303.56,-303963608355.49774,0.0,-25520856.400087263,-303989129211.8964,1737989113911.1765,0.03594123461189879,921420902216.3597,2659410016127.572,2135543.629912246,-43075.74748414454,-4306.7655924904675,-0.40667561268527547,-29246.094334625057,-544585.4354232085,-15790037.74978379
165.5,49790543901.56242,13737015986420.26,136622059819544.14,150408866349865.72,-301024690989.8358,0.0,-19666525.294027146,-301044357515.13,2203022585353.6064,0.03594123461189879,447631654326.77515,2650654239680.422,4716111.604198546,-387481.1474312824,-38740.715865493316,-3.6582057788418294,-263071.48355036404,-1753146.9141146601,-49976515.13912852
232.05,172003823819.8126,17490523054747.453,132746446362905.88,150408973241473.0,-294972859604.18506,0.0,-15235565.64214282,-294988095169.82794,2430256986655.777,0.03594123461189879,201103598907.29193,2631360585563.1016,9726057.891002968,-3011922.85173408,-301131.5491499264,-28.43575100945819,-2044603.0510777396,-4658408.032116361,-126963452.71737728
305.25500000000005,543195710603.05005,21733577299493.652,128126679158268.7,150403452168365.2,-284639439857.37103,0.0,-11803388.606796194,-284651243245.97705,2504235950447.0923,0.03594123461189879,89507988414.97942,2593743938862.0864,19220853.054216184,-20294684.425082557,-2028936.4021297712,-191.61758463600066,-13763530.10949101,-11044936.86532957,-273739363.2542032
385.7805000000001,1568497767891.1917,26298007984098.836,122497993595174.4,150364499347164.8,-255098308357.68515,0.0,-8619735.146041473,-255106928092.83182,2483640302415.701,0.03594123461189879,40580084992.82967,2524220387408.5693,34003600.47086995,-118774291.58673689,-11869811.38278761,-1121.9795652321327,-80063975.98128594,-24251345.890323866,-511967852.622444
474.35855000000015,4126784375356.5176,30798836566142.51,115223178191582.89,150148799133081.03,-125391407261.22287,0.0,-3501880.694822128,-125394909141.91771,2376151754316.1875,0.03594123461189879,18738455638.31936,2394890209954.5312,29449859.980369285,-602501836.8743691,-60087820.39894374,-5705.99459589297,-393771329.18289095,-49991232.15591768,-841378907.5608822
571.7944050000002,9775977640185.281,34401856329688.434,104993548879449.97,149171382849324.56,378657421010.9946,0.0,8859645.164485218,378666280656.16,2175181530771.5146,0.03594123461189879,8719758434.330956,2183901289205.8657,-185526577.65623292,-2618485590.72657,-259341456.20605773,-25056.829618283657,-1533246533.976694,-98392818.52403209,-1230893638.9287274
678.9738455000003,12034844487744.244,34837907539748.777,100846776968072.94,147719528995565.2,1038281250420.7136,0.0,23201662.745209932,1038304452083.456,2005653140344.8662,0.03594123461189879,6744277949.088544,2012397418294.0032,-565616397.4146694,-3760796256.9407973,-370474436.69977754,-36494.96713973218,-1937536349.4150681,-117857058.9508567,-1139785745.137138
796.8712300500003,11912978159433.443,34485136832793.645,99825599380708.53,146223714372935.84,1608309015763.2224,0.0,35939629.40915179,1608344955392.6357,1922757003411.7896,0.03594123461189879,6465528508.287048,1929222531920.1091,-858066249.3868839,-3708769609.907636,-364645800.35397893,-36482.56269545287,-1713329605.1868737,-116231919.42437537,-928019131.0778152
