t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,1380166129348.4019,25433315891611.945,121540392413245.14,148353874434203.72,230623625934.12292,0.0,7479285.603675117,230631105219.72488,1609150056392.2385,0.0,27442467324.115494,1636592523716.3599,-124931222.13100125,-9293969.531677319,-909.7437921348287,-59069949.246431835,-18603064.019542385,-167516286.07693872
7560.0,1367596957703.5269,25201695566723.574,120433590584865.92,147002883109295.1,448145646383.6351,0.0,14533676.97012126,448160180060.60645,1329655929814.5618,0.0,22675970164.801357,1352331899979.3633,-149085019.51525208,-9202096.953113548,-909.4734437856473,-51037755.12502595,-14395313.527034115,-90331666.70887397
11916.0,1354615504019.8057,24962477877597.887,119290483642865.2,145607577024482.16,519106768589.30426,0.0,16834995.82845242,519123603585.1342,1246678511658.972,0.0,21260870530.707027,1267939382189.6643,-155736058.1045932,-9112815.595235838,-909.1766080468989,-45045064.58188002,-11395192.403131807,-67187871.63833472
16707.600000000002,1341121389279.212,24713813038716.977,118102232521565.16,144157166949563.7,531881974138.1768,0.0,17249304.685591653,531899223442.86176,1223886928070.9434,0.0,20872180897.190952,1244759108968.1287,-155728001.94470528,-9026225.154731978,-908.8489884936522,-40324674.37110871,-9816621.446272,-59804769.96442437
21978.360000000004,1327035579986.5554,24454244642580.5,116861877337155.47,142643157559721.7,521860898065.1878,0.0,16924314.17479388,521877822379.36194,1208369129782.4583,0.0,20607539018.009865,1228976668800.4656,-153204552.2170106,-8941698.137484716,-908.4863167800509,-36452624.820741996,-9060011.673963906,-57375878.902537055
27776.196000000007,1312291115838.6584,24182538762120.008,115563521324672.44,141058351202630.25,502650617952.77844,0.0,16301311.345556622,502666919264.1248,1182726109364.2493,0.0,20170222099.39535,1202896331463.6455,-149671370.37554595,-8858387.853956055,-908.0841288753278,-33182424.32763089,-8638311.844374238,-55987500.600305215
34153.81560000001,1296827953718.951,23897588937575.457,114201876811173.47,139396293702466.45,479598159015.8723,0.0,15553703.967935136,479613712719.83954,1144156830542.2144,0.0,19512461140.345627,1163669291682.5564,-145690387.27501622,-8775435.963964717,-907.6376171132925,-30362450.479334496,-8297270.015455593,-54353549.40837124
41169.19716000001,1280590142841.4065,23598364120910.887,112772016458671.95,137650970722423.66,454986912548.7178,0.0,14755544.019722534,455001668092.7378,1095116889429.1062,0.0,18676133745.90008,1113793023175.0164,-141495566.5805217,-8692042.134248113,-907.1415121955653,-27893683.78339354,-7938697.125194239,-52216806.68891631
48886.116876000015,1263524298885.002,23283880557606.62,111269238894412.28,135816643750905.08,429938616713.7788,0.0,13943210.254617676,429952559924.03455,1039310629630.8533,0.0,17724413678.080288,1057035043308.9287,-137203612.2652569,-8607475.845837198,-906.5899652977432,-25707579.403782245,-7542216.834388445,-49669395.38887531
57374.72856360002,1245578816506.1301,22953187275059.156,109688999362848.6,133887765454414.14,405084741533.6814,0.0,13137181.687411912,405097878715.3663,980122598996.0786,0.0,16715020931.750837,996837619927.8303,-132882634.06124513,-8521066.687260382,-905.9764176479999,-23754215.48488228,-7117644.629662789,-46880756.27452292
66712.20141996004,1226703515149.8,22605359555678.44,108026878534298.14,131858941605125.36,380804741960.9707,0.0,12349764.307792772,380817091725.2796,920130031388.087,0.0,15691907600.064405,935821938988.152,-128574510.03705817,-8432187.940523902,-905.2934548535675,-21995754.769670203,-6681705.670772449,-44002066.838908486
