t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,1656849273.7202132,7349077675692.393,144124946716755.72,151475681241719.78,-252895279171.8025,0.0,-31653455.501703735,-252926932627.30392,836732784473.2618,0.03594123461189879,2041573654416.5303,2878306438889.829,737176.4367481449,-1337.3538556405374,-128.55161445352184,-0.012179906360709649,145.43724406526064,-55444.539866864114,161724.64666927082
105.0,3577786264.716377,8138541605366.109,143380218804503.78,151522338196134.47,-298643726445.362,0.0,-32060799.154218044,-298675787244.5186,1220910513281.2007,0.03594123461189879,1656487825809.9595,2877398339091.2075,1423334.9487295782,-4898.814443272824,-477.710749585632,-0.04699402922315193,505.02780613566637,-142485.31824428358,415744.98561595805
165.5,8161366872.755697,9624804885642.71,141893120496764.16,151526086749278.5,-301085703437.8049,0.0,-27691095.368783858,-301113394533.17395,1642429501184.2583,0.03594123461189879,1233657892049.398,2876087393233.6943,2271295.8035248695,-19057.53865018584,-1858.491785739028,-0.18285119177236317,1964.254655120164,-338007.432754093,987044.5365703162
232.05,18627590193.52426,11365279554581.773,140143159567157.97,151527066711935.66,-300023760685.5404,0.0,-23627880.72812836,-300047388566.26807,2031038358002.4233,0.03594123461189879,843003066558.1029,2874041424560.576,3426397.589361399,-74304.10023098897,-7246.0789423257365,-0.7129207162866048,7658.424832525997,-733262.4814880327,2145299.3714226973
305.25500000000005,42365656662.18483,13385257158094.227,138100231014345.97,151527853829102.88,-297814349211.50696,0.0,-20087655.74024015,-297834436867.24695,2335032383615.972,0.03594123461189879,536008970650.8998,2871041354266.9185,4843414.115044479,-288460.01859028894,-28130.09891242569,-2.7676644615954644,29730.742564223543,-1457545.7763321185,4280273.862101201
385.7805000000001,95622048623.84393,15705516541281.633,135727221862066.9,151528360451973.7,-294406371810.4815,0.0,-17023324.334563922,-294423395134.81805,2543127034147.5117,0.03594123461189879,323996616427.348,2867123650574.884,6383379.441341292,-1107738.6978817466,-108022.06007878119,-10.62848598399938,114166.78620323443,-2672008.446818383,7893708.237315812
474.35855000000015,213298054480.84418,18336473932243.516,132978383467615.89,151528155454338.88,-290061870500.2288,0.0,-14401137.404233223,-290076271637.6324,2672830820420.909,0.03594123461189879,190149653964.64618,2862980474385.612,8026933.535538809,-4179714.1171053867,-407554.074291598,-40.106387345086695,430705.4169163043,-4538482.993343091,13512288.80636237
571.7944050000002,468232399756.2705,21270897547614.133,129786472283739.22,151525602231109.25,-283822901699.52673,0.0,-12126685.468909256,-283835028384.9952,2749108360804.625,0.03594123461189879,110157014713.4963,2859265375518.16,9918081.96614074,-15382003.384097595,-1499372.0044602097,-147.6442566439114,1583746.8827595196,-7140253.95331993,21490348.794396367
678.9738455000003,578178379478.9526,22118914222013.367,128823983383099.39,151521075984592.9,-277863816059.605,0.0,-11401429.193011956,-277875217488.7991,2762790293546.474,0.03594123461189879,94843543010.61127,2857633836557.1187,8999494.163471924,-21787073.907140125,-2122634.952593848,-209.2238127321597,2237193.8646428776,-7257246.511920147,22169065.060245357
796.8712300500003,578159083428.4939,22118176713892.656,128819670138883.9,151516005936205.53,-271134646856.3359,0.0,-11125314.989289692,-271145772171.3237,2760968978271.0483,0.03594123461189879,94781016359.6447,2855749994630.716,7379073.149280932,-21729006.10800285,-2115812.8252315004,-208.77584551790096,2224496.0919623803,-6374721.344845756,19816358.405719083
926.5583530550005,578137684861.0651,22117358092929.707,128814903113609.31,151510398891398.97,-261816243767.3534,0.0,-10742958.212052343,-261826986725.5661,2757142038575.452,0.03594123461189879,94649642226.48943,2851791680801.9883,6043263.87904791,-21665595.66108696,-2108378.7896009143,-208.2862458729027,2210634.6318548718,-5654235.198037225,17870544.69637196
1069.2141883605007,578114082700.6064,22116455171543.363,128809645182847.27,151504214437092.16,-249482814150.13983,0.0,-10236887.55267256,-249493051037.69156,2750934791003.206,0.03594123461189879,94436554800.76352,2845371345804.0044,4887269.451095649,-21596403.67339817,-2100285.25462216,-207.75148540750786,2195514.1220353525,-5073301.766557183,16225160.349015076
1226.1356071965508,578088084869.482,22115460601642.594,128803853557614.23,151497402244124.72,-234127517703.41006,0.0,-9606822.336824525,-234137124525.7483,2742387002524.7456,0.03594123461189879,94143119227.3683,2836530121752.1543,3879795.0755630326,-21520962.886104085,-2091482.2173555233,-207.16779318331444,2179033.3704483514,-4614138.749014008,14813111.230838358
1398.749167916206,578059470285.5558,22114365925540.01,128797478987062.55,151489904382888.2,-215960779003.4525,0.0,-8861396.797365762,-215969640400.25098,2731755635451.1523,0.03594123461189879,93778156726.61081,2825533792177.778,2999872.55951805,-21438779.530045543,-2081917.5184622293,-206.53116126239908,2161085.6482743234,-4258823.21930408,13589645.706518907
1588.6240847078268,578027991118.7743,22113161662280.074,128790466261372.05,151481655914771.56,-195288089845.62036,0.0,-8013146.006740522,-195296102991.626,2719396109171.4844,0.03594123461189879,93353868446.92249,2812749977618.434,2227884.7861960083,-21349334.321664084,-2071537.0773375558,-205.83734546924805,2141558.917851531,-3988422.8098388272,12521096.530225243
1797.4864931786096,577993372516.6619,22111837297137.926,128782754150682.34,151472584820336.78,-172441015503.96146,0.0,-7075674.895747732,-172448091178.85684,2705695641686.5957,0.03594123461189879,92883547154.79639,2798579188841.4233,1547453.257690414,-21252084.01692144,-2060285.2054787714,-205.08186992079536,2120336.1962129045,-3783614.40208372,11578944.006988782
2027.2351424964709,577955311169.4823,22110381226732.523,128774275085492.34,151462611623395.44,-147741849966.272,0.0,-6062207.971736465,-147747912174.24384,2691039416747.4736,0.03594123461189879,92380415788.56624,2783419832536.091,946526.1902605756,-21146463.66993547,-2048105.007556289,-204.2600360815841,2097296.0779511747,-3625697.8294326505,10738200.380967923
2279.9586567461183,577913473256.964,22108780680473.098,128764954699250.25,151451648852980.16,-121488721818.98216,0.0,-4984978.176780666,-121493706797.1589,2675796678330.13,0.03594123461189879,91857150094.6367,2767653828424.8203,416478.56990592164,-21031889.717254627,-2034938.8789462482,-203.36693715930596,2072313.4424749603,-3497540.109736713,9978452.1695428
2557.9545224207304,577867491999.6792,22107021626885.863,128754711282872.17,151439600401756.72,-93952596484.34683,0.0,-3855103.882167054,-93956451588.22906,2660318424908.5713,0.03594123461189879,91325799472.05803,2751644224380.662,-49554.86499596075,-20907764.005842626,-2020729.107116961,-202.39747869664785,2045260.3714219616,-3384257.6034073913,9285634.70858391
2863.7499746628037,577816964902.8076,22105088668172.734,128743455170717.61,151426360803793.34,-65380662149.03563,0.0,-2682727.8212910267,-65383344876.85661,2644941351132.7544,0.03594123461189879,90797922284.15622,2735739273416.9546,-458062.967735428,-20773478.881131522,-2005418.582098104,-201.3464062299567,2016007.301790444,-3273579.836597085,8652926.40318267
3200.124972129084,577761450719.236,22102964924032.633,128731088064050.64,151411814438804.22,-36002505018.95096,0.0,-1477270.4754027936,-36003982289.42651,2629994554527.724,0.03594123461189879,90284816090.78891,2720279370618.5415,-815848.0374872942,-20628423.44401562,-1988951.618167037,-200.20834086353895,1984424.438935371,-3155922.188480777,8079904.941868283
3570.137469341993,577700466132.9791,22100631904780.324,128717502292179.19,151395834663093.16,-6036726385.588526,0.0,-247701.58795739347,-6036974087.176497,2615806736911.394,0.03594123461189879,89797764864.12137,2705604501775.53,-1130073.7495031639,-20471991.06959861,-1971274.884755379,-198.9778235388147,1950383.4506195078,-3024243.207893166,7569992.438575896
3977.1512162761924,577633482153.7648,22098069373418.984,128702580009246.19,151378282864818.38,24303470466.428017,0.0,997230.5909609429,24304467697.018845,2602712479139.5264,0.03594123461189879,89348254392.96553,2692060733532.5444,-1407919.0977167075,-20303588.254043743,-1952338.4393587848,-197.64936864752588,1913759.4584681494,-2873778.16585135,7126910.938130954
