t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
27974.98335832411,148519155515829.25,392931972232.63776,618968544212.013,66915432738189.54,392918589952.70026,599167248204.2551,-1482275.6256326856,-193059264895.67892,-46895969.63681465,3.2341167746290024e-39,-32794354450.96843,392.73067810115657,-1536927.2286365395
31772.481694156522,151141199293773.03,493178872552.2489,895517347358.3137,67077847842527.3,493162027117.704,866076801067.6489,-2170355.150251184,-193129759311.62933,-58458911.39919876,2.111379054103788e-39,-32796426171.83479,392.73067810115657,-2334877.6476230626
35949.729863572175,153620173713288.12,598430524065.7716,1242066801549.122,67222738014817.1,598410024751.2965,1200130469546.0818,-2966764.238193497,-193190275622.7531,-70471202.57822426,-3.3109121741872326e-39,-32798197739.406525,392.73067810115657,-3377227.5615360136
40544.702849929396,155955704166019.28,706129068867.3297,1662171348385.9934,67351944600351.19,706104811429.438,1604575573386.0315,-3824702.0905453064,-193242382046.86044,-82633009.53074029,2.024608520085712e-38,-32799727790.55321,392.73067810115657,-4687697.656355533
45599.17313492234,158148560873617.25,814030373759.3453,2157075291906.2595,67466942243891.59,814002330621.1211,2080424046633.8079,-4688817.655719694,-193287261235.94635,-94688638.44269694,5.124555959565711e-37,-32801060515.674168,392.73067810115657,-6282652.31264614
51159.09044841458,160201223472568.03,920291471746.7085,2725657723079.9272,67568989426819.055,920259679014.5707,2626410205807.117,-5503791.303284707,-193325844529.05212,-106434673.78424835,4.791944977982347e-36,-32802229852.346794,392.73067810115657,-8170088.3811994195
57274.999493256044,162118130925820.78,1023498355318.126,3364478419977.105,67659228945928.445,1023462898645.6079,3239044292724.321,-6221754.608236923,-193358902991.5596,-117721003.9000737,3.1275012567959296e-35,-32803262298.064564,392.73067810115657,-10348623.808592953
64002.499442581655,163905655374717.03,1122647985098.0159,4067915316681.621,67738747945329.16,1122608985971.858,3912752057342.3203,-6807312.896197351,-193387106291.47937,-128446646.23504671,1.6044556727949839e-34,-32804178845.93368,392.73067810115657,-12806534.878354715
71402.74938683983,165571851400095.12,1217098266340.8364,4828387213435.148,67808606079251.07,1217055869916.6438,4640094101397.753,-7239794.654653318,-193411057528.72516,-138552201.70166045,6.6818260957407385e-34,-32804996347.475574,392.73067810115657,-15521077.73692162
79543.02432552382,167126045464591.22,1306499031361.4375,5636654598044.134,67869840347648.03,1306453396540.7837,5412058298626.126,-7513026.939334101,-193431310778.15665,-148010604.08391833,2.208228283044571e-33,-32805728491.246162,392.73067810115657,-18458416.2232824
88497.3267580762,168578338284859.12,1390715893110.8987,6482187465856.207,67923455001483.414,1390667185147.49,6218414990106.895,-7633316.212907208,-193448377215.49118,-156817605.6982739,5.0735308549597586e-33,-32806386517.67976,392.73067810115657,-21574429.44300419
98347.05943388383,169939092262490.62,1469757057461.5251,7353583696044.42,67970404188955.38,1469705443033.7122,7048119602076.632,-7616419.31797008,-193462724782.06857,-164983146.8118186,2.3133851377542105e-33,-32806979749.323265,392.73067810115657,-24816512.84140788
109181.76537727221,171218466216608.56,1543710753221.8154,8239016844943.917,68011573644645.02,1543656397637.5125,7889742787988.289,-7484204.1386550125,-193474775279.34735,-172524400.39225566,-5.09419438001812e-32,-32807515989.95332,392.73067810115657,-28126277.799199406
121099.94191499944,172426042239091.22,1612698041349.261,9126689546973.5,68047765891299.23,1612641107375.791,8731905537582.65,-7261518.700030611,-193484901616.33533,-179460897.60223845,-3.3266247852373967e-31,-32808001829.34341,392.73067810115657,-31442867.312621307
134209.9361064994,173570568043043.44,1676842756808.2407,10005268559321.707,68079691429299.74,1676783404548.927,9563696428310.32,-6973585.333575122,-193493426785.36316,-185811770.63198864,-1.3778774497786454e-30,-32808442879.051235,392.73067810115657,-34706491.69193681
148630.92971714935,174659816972501.5,1736257630160.405,10864279519479.145,68107966554458.336,1736196017423.4995,10375050029280.393,-6644058.430614127,-193500625145.4377,-191594845.4587052,-4.529173160210496e-30,-32808843956.689415,392.73067810115657,-37861769.45586692
164494.0226888643,175700550755899.03,1791043578299.856,11694442923547.01,68133117033360.1,1790979861001.3303,11157068673467.973,-6293750.736720769,-193506725848.81265,-196827112.14429086,-1.3000854899931552e-29,-32809209230.7768,392.73067810115657,-40860524.2485123
181943.42495775074,176698559592551.25,1841297948443.3015,12487936890078.803,68155586022001.39,1841232280725.7874,11902273646657.064,-5939948.081433817,-193511917801.72815,-201526008.25615385,-3.5412550358473744e-29,-32809542334.806046,392.73067810115657,-43663807.06605894
201137.76745352583,177658750846542.84,1887127178327.8308,13238576488353.926,68175744342868.62,1887059712231.4802,12604775867036.912,-5596190.520345069,-193516355390.59088,-205710964.8597412,-9.760914557572106e-29,-32809846457.024788,392.73067810115657,-46243046.4458806
222251.54419887843,178585260319945.84,1928659774943.083,13941903746696.768,68193901421882.23,1928590659606.1604,13260360315486.863,-5272389.132821227,-193520164265.78964,-209404760.61266345,-2.7242732683992643e-28,-32810124411.09567,392.73067810115657,-48580346.49513824
245476.69861876627,179481566513227.78,1966056484543.974,14595187157763.777,68210315644579.99,1965985865021.387,13866483049369.43,-4975160.5828815065,-193523446666.32162,-212634374.90128165,-7.231204330726093e-28,-32810378691.854797,392.73067810115657,-50668036.8412251
271024.3684806429,180350595926997.25,1999515757409.7341,15197334782931.623,68225203428732.14,1999443773267.2112,14422184788898.734,-4708284.956134718,-193526285999.4914,-215431191.65457183,-1.701112884015728e-27,-32810611519.604847,392.73067810115657,-52507627.30206361
299126.8053287072,181194814266799.84,2029273849949.7388,15748730832756.574,68238746780044.46,2029200633819.4539,14927930695638.46,-4473217.5305276755,-193528750593.56958,-217830552.76069015,-3.51982698503674e-27,-32810824875.688667,392.73067810115657,-54108340.24289038
330039.48586157797,182016303209432.0,2055599961951.876,16251011320698.275,68251099419337.99,2055525638226.037,15385391525331.637,-4269606.552454919,-193530896681.74142,-219870774.24569353,-8.07822086168352e-27,-32811020531.50431,392.73067810115657,-55485394.87925773
364043.4344477358,182816824902629.16,2078787561414.4705,16706799145241.07,68262391729715.74,2078712245217.8054,15797185944676.572,-4095784.746249017,-193532770746.62366,-221591809.69659746,-3.1501375372725715e-26,-32811200072.666443,392.73067810115657,-56658207.58102928
401447.77789250936,183597876988974.66,2099143459283.217,17119421754744.771,68272734802311.26,2099067255813.2786,16166606488342.814,-3949212.779774545,-193534411369.66257,-223033772.54554743,-1.6310524687562503e-25,-32811364919.668636,392.73067810115657,-57648653.90921879
442592.5556817603,184360740380579.0,2116976276237.598,17492634652853.63,68282223810591.64,2116899280505.7583,16497351691026.324,-3826860.1258084313,-193535850710.47205,-224235517.04569286,-7.590265055051449e-25,-32811516346.100876,392.73067810115657,-58479512.290844075
487851.81124993635,185106520993775.72,2132585751282.425,17830371214036.344,68290940865360.53,2132508048236.876,16793284180003.072,-3725514.5997325405,-193537115708.3892,-225233436.7909243,-2.9046924118835908e-24,-32811655495.172043,392.73067810115657,-59173176.24413317
537636.9923749301,185836185737142.22,2146253963077.5725,18136534049920.39,68298957431540.95,2146175628050.4067,17058229404291.719,-3642017.4514437113,-193538229066.79614,-226060581.68710303,-9.135377542941753e-24,-32811783394.974487,392.73067810115657,-59750683.93591496
592400.6916124232,186550592531946.53,2158239068123.9404,18414836490258.258,68306336341892.62,2158160167520.2593,17295823177457.393,-3573426.42344752,-193539210057.7432,-226746132.11326376,-2.3610843521524815e-23,-32811900972.63327,392.73067810115657,-60231074.7641656
652640.7607736655,187250514092405.72,2168771700059.221,18668695877082.37,68313133425312.484,2168692292198.1243,17509409547163.793,-3517114.1598160886,-193540075171.53513,-227315213.84618127,-4.8806017883822363e-23,-32812009067.264275,392.73067810115657,-60631047.93874391
718904.8368510321,187936655497872.3,2178053797253.8645,18901174500465.273,68319398771773.29,2177973933276.401,17701984822909.9,-3470813.052444738,-193540838631.15823,-227788997.0899186,-7.186971762677165e-23,-32812108441.55171,392.73067810115657,-60964872.445911564
791795.3205361353,188609666066584.56,2186259376950.5447,19114959945127.555,68325177671695.31,2186179101724.6882,17876179681423.766,-3432619.5346562425,-193541512791.2321,-228185001.21397853,-2.894956606744205e-23,-32812199791.760307,392.73067810115657,-61244484.02593797
871974.8525897489,189270146508555.66,2193536664250.87,19312374666824.37,68330511284406.34,2193456017222.754,18034269410365.816,-3400970.8918175567,-193542108442.25537,-228517522.7520371,2.6700173387380505e-22,-32812283756.081482,392.73067810115657,-61479702.8441621
960172.3378487239,189918652659258.6,2200010994508.854,19495404577913.98,68335437101405.18,2199930010469.4263,18178202347644.227,-3374606.1879923833,-193542635041.29913,-228798113.72913978,1.2453597575346072e-21,-32812360921.344852,392.73067810115657,-61678512.98099683
1057189.5716335964,190555697208004.03,2205788000776.1875,19665737757879.94,68339989272062.88,2205706710529.506,18309637902039.99,-3352520.5007454944,-193543100889.00143,-229036054.7413613,3.7394698337081486e-21,-32812431828.260315,392.73067810115657,-61847357.93880174
1163908.5287969562,191181750725262.44,2210956731251.065,19824806462579.023,68344198852428.1,2210875162183.719,18429987562698.6,-3333918.9527454316,-193543513269.8953,-229238786.81600434,9.161443015338888e-21,-32812496975.461956,392.73067810115657,-61991421.17945053
1281299.381676652,191797242997792.4,2215592478481.1304,19973827804022.664,68348094024179.086,2215510655039.9478,18540454453819.926,-3318174.5380526143,-193543878569.32504,-229412283.7290977,1.9633476540839753e-20,-32812556822.683563,392.73067810115657,-62114874.234768815
1410429.3198443174,192402565264196.38,2219759217782.03,20113840413364.523,68351700313853.99,2219677161871.9062,18642068880334.88,-3304791.7558706272,-193544202376.06357,-229561359.8504843,3.8002569324129033e-20,-32812611793.400436,392.73067810115657,-62221085.447494455
1552472.2518287492,192998073490892.56,2223511635645.653,20245735891835.777,68355040825601.96,2223429366960.123,18735718755270.14,-3293376.668217002,-193544489575.99496,-229689917.16907406,6.767294340996053e-20,-32812662277.224613,392.73067810115657,-62312789.42631716
1708719.4770116243,193584092426394.8,2226896779188.151,20370284868168.832,68358136486721.016,2226814315484.9194,18822174773491.414,-3283613.1290851133,-193544744439.15808,-229801139.5496698,1.122283198517116e-19,-32812708632.25558,392.73067810115657,-62392221.22847967
1880591.424712787,194160919897407.25,2229955380832.2607,20488158081458.86,68361006295926.93,2229872738163.8916,18902110765998.28,-3275244.465247685,-193544970700.36533,-229897643.65563,1.748787656752474e-19,-32812751187.488483,392.73067810115657,-62461220.919814445
2069650.5671840657,194728830712165.0,2232722916939.024,20599943195509.54,68363667560246.02,2232640109847.511,18976119934768.76,-3268059.693701773,-193545171632.50452,-229981595.54149958,2.578343053012344e-19,-32812790245.28557,392.73067810115657,-62521314.34878971
2277615.6239024727,195288079623887.34,2235230453301.731,20706158123951.06,68366136107327.93,2235147494984.0557,19044727729913.902,-3261883.3359378004,-193545350111.4489,-230054800.6357981,3.617497504107107e-19,-32812826083.842297,392.73067810115657,-62573775.39033187
2506377.18629272,195838903046018.88,2237505320825.47,20807261589298.64,68368426464308.14,2237422223275.487,19108402071931.594,-3256567.964734803,-193545508671.8531,-230118773.32934797,4.85373603168279e-19,-32812858959.538925,392.73067810115657,-62619674.029910736
2758014.904921992,196381519529757.94,2239571655544.394,20903661520451.785,68370552000476.45,2239488429676.1724,19167561506436.137,-3251988.7487203097,-193545649553.90085,-230174791.00207445,6.2545812487418525e-19,-32812889109.061855,392.73067810115657,-62659913.740229085
3034816.3954141918,196916129321943.88,2241450830334.0576,20995721761508.65,68372525036977.34,2241367486090.203,19222581752847.418,-3248039.411111445,-193545774741.7453,-230223936.19619977,7.768676211811285e-19,-32812916751.209625,392.73067810115657,-62695260.78785807
3339298.034955611,197442913530919.88,2243161801437.828,21083767452187.1,68374356931126.01,2243078347886.0938,19273801000530.375,-3244629.1678950964,-193545885994.99948,-230267129.78494385,9.327033312817434e-19,-32812942088.350693,392.73067810115657,-62726367.44624236
3674227.838451172,197962033481028.84,2244721390334.6577,21168089360920.402,68376058144802.336,2244637835755.2095,19321524227614.223,-3241680.340378988,-193545984874.87314,-230305157.3408591,1.0841950240321727e-18,-32812965307.5673,392.73067810115657,-62753790.5863468
4042650.6222962895,198473630724177.75,2246144519261.1885,21248947404531.684,68377638305698.14,2246060871225.941,19366026767263.426,-3239126.4384143064,-193546072766.41916,-230338690.408807,1.2201152827658354e-18,-32812986581.57303,392.73067810115657,-62778006.74289933
4447915.684525919,198977827941789.78,2247444415857.4917,21326573561448.133,68379106267587.516,2247360681302.6035,19407557313073.12,-3236910.5820940565,-193546150898.09778,-230368303.98021406,1.3255341577403533e-18,-32813006069.519108,392.73067810115657,-62799424.47960325
4893707.252978511,199474730694150.7,2248632798569.224,21401174363541.19,68380470172311.445,2248548983860.896,19446340526992.887,-3234984.17571253,-193546220359.36795,-230394491.117351,1.379795012496943e-18,-32813023917.793682,392.73067810115657,-62818394.66995925
5384077.978276363,199964429746786.03,2249720049934.215,21472933123142.363,68381737512990.414,2249636160927.9873,19482579380821.17,-3233305.775566144,-193546282116.65137,-230417675.38250095,1.3535930855712603e-18,-32813040260.878117,392.73067810115657,-62835219.14930101
5923485.7761039995,200447003591321.06,2250715380497.801,21542012012336.465,68382915195957.984,2250631422591.283,19516457323480.992,-3231840.1101624626,-193546337027.70966,-230438221.49424678,1.2049330580832138e-18,-32813055222.266186,392.73067810115657,-62850158.06628689
6516834.3537144,200922520800339.62,2251626982693.0645,21608554064920.668,68384009598362.234,2251542960872.062,19548140324841.71,-3230557.222992722,-193546385854.39447,-230456444.46964863,8.735149496015264e-19,-32813068915.4067,392.73067810115657,-62863436.16393158
7169517.789085841,201391041981744.47,2252462172139.446,21672685125830.96,68385026619059.49,2252378091017.832,19577778809879.387,-3229431.716981909,-193546429273.7742,-230472617.41628534,2.7271866556409698e-19,-32813081444.60628,392.73067810115657,-62875248.14991502
7887469.567994425,201852621266181.1,2253227513509.947,21734515737067.43,68385971721913.1,2253143377363.9946,19605509470844.207,-3228442.0868051955,-193546467887.7128,-230486978.0995289,-7.22328411256589e-19,-32813092905.834763,392.73067810115657,-62885763.271132946
8677216.524793869,202307307404408.06,2253928928995.6655,21794142928427.43,68386849971958.195,2253844741793.2104,19631456932808.53,-3227570.130266486,-193546502231.1328,-230499734.4076948,-2.293576580224929e-18,-32813103387.405045,392.73067810115657,-62895129.18346386
9545938.177273257,202755144626764.06,2254571788830.1035,21851651875922.27,68387666065979.3,2254487554255.6694,19655735248205.508,-3226800.432752536,-193546532779.20728,-230511068.84934166,-4.712030887956925e-18,-32813112970.53217,392.73067810115657,-62903475.19769661
10000000.0,202976372214554.9,2254877450279.137,21879750528574.137,68388056973174.57,2254793193032.1787,19667407538535.535,-3226441.6760131824,-193546547070.1124,-230516368.44245467,-6.182329257905812e-18,-32813117520.64143,392.73067810115657,-62907383.829058126
