t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,1555689938.5400558,7301949908236.079,144167565996109.47,151471071594281.78,-248338694608.0815,0.0,-31486523.022070047,-248370181131.103,807793442305.6565,0.03594123461189879,2070565892524.6748,2878359334830.3564,693038.5337588087,-1201.2171474356587,-115.27671817171407,-0.010874157311480831,131.40022782207993,-51035.94654994313,148863.8178475233
105.0,3131742677.3111405,7920393095655.784,143597713198650.1,151521238036985.88,-297676904372.6497,0.0,-32764360.4779274,-297709668733.12854,1154453232623.5925,0.03594123461189879,1723079147108.0422,2877532379731.687,1308254.183925911,-3934.2874871940726,-383.64704256721575,-0.03773872694997576,405.62484579878,-122887.75085113951,358544.03351684357
165.5,6734479878.024627,9257137962266.736,142261973466506.8,151525845908651.66,-301148593666.17267,0.0,-28714244.464335065,-301177307910.63715,1544631964329.493,0.03594123461189879,1331760182909.8528,2876392147239.389,2032048.3453089718,-13884.732559326196,-1354.0416905262668,-0.1332198857526746,1431.0979951596137,-278496.0381470908,813102.7285101861
232.05,14573652010.96929,10819232015287.082,140693034063393.92,151526839730690.72,-300385092013.0098,0.0,-24774591.308686372,-300409866604.3184,1922549975159.0442,0.03594123461189879,952080908707.9492,2874630883867.0454,3006047.1939693224,-49567.26490844181,-4833.771924559219,-0.47558038664149926,5108.845842430753,-587150.8198111233,1716878.5034854119
305.25500000000005,31617262613.44521,12630714270123.145,138865309708810.53,151527641241549.44,-298599895086.08026,0.0,-21284342.511323817,-298621179428.59143,2237631471578.13,0.03594123461189879,634409213655.1796,2872040685233.3486,4216087.896618534,-177915.34350913696,-17350.04872150588,-1.7070292465075738,18337.329375507605,-1148684.2011850267,3369126.978358401
385.7805000000001,68503915435.238945,14714241261939.086,136745497303964.56,151528242481339.28,-295728324347.074,0.0,-18214733.85118829,-295746539080.9274,2468222147556.0923,0.03594123461189879,400342643959.80237,2868564791515.958,5557641.417777472,-638170.3927892294,-62232.452382775984,-6.123036644713449,65773.06636398881,-2091485.2663997458,6165778.303128886
474.35855000000015,147647951376.16608,17085809583574.574,134294944369298.98,151528401904249.47,-291972419533.48254,0.0,-15546598.146241756,-291987966131.6281,2620999004827.8267,0.03594123461189879,243647483693.32614,2864646488521.1797,6973639.053542367,-2273043.8547334163,-221649.84824042517,-21.809974131734425,234251.28834276574,-3555704.194764749,10555123.159874417
571.7944050000002,315281063394.2485,19749889607715.535,131462123559325.17,151527294230437.34,-287375491401.38007,0.0,-13243262.905672802,-287388734664.2856,2715832820458.4155,0.03594123461189879,145315282776.11755,2861148103234.571,8604316.380877024,-7985327.808466958,-778534.3472376937,-76.63212005602472,822634.5107684724,-5645707.689209404,16909854.109998167
678.9738455000003,386855353481.94354,20525148036173.523,130613126599811.4,151525129989467.1,-284393931844.5262,0.0,-12603326.387521539,-284406535170.9141,2734299288003.5635,0.03594123461189879,125990499413.08974,2860289787416.6636,7982098.487100681,-11199749.085118365,-1091640.1400201824,-107.50667084609687,1152818.8002763444,-5847299.957694721,17711826.35306332
796.8712300500003,386849065217.40625,20524815193402.67,130610986068816.9,151522650327437.72,-281848050506.763,0.0,-12490501.991332354,-281860541008.7542,2734192229910.515,0.03594123461189879,125985561384.95422,2860177791295.517,6804265.38777501,-11184290.383314243,-1089821.7506920167,-107.38790845270728,1150161.4531005092,-5231192.137399426,16069402.673170384
