t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
318590.3763290745,371473379396.7417,18846687340972.85,118488258448225.22,137706419168592.39,114639667798.53534,0.0,4689071.324799888,114644356869.85995,338238954915.8886,0.0,14291220926.838364,352530175842.72723,-17154146.019057468,-1106777.236845435,-115.52425234928589,-3505572.487840273,-1007818.1758273904,-6605794.09455008
354049.413961982,368536821444.2775,18697701620071.742,117551644796045.12,136617883237560.23,110660503693.48294,0.0,4526312.790527272,110665030006.2732,326059282959.9833,0.0,13776607554.30086,339835890514.2845,-16844942.41204392,-1100389.2710810318,-115.48335032444241,-3339582.9534047805,-971134.7057925483,-6364672.263017506
393054.35535818024,365395589244.02954,18538331779786.37,116549749172836.8,135453476541865.89,106652162767.34485,0.0,4362360.8456507,106656525128.19046,313858384191.0382,0.0,13261097289.717197,327119481480.755,-16528220.714278756,-1093683.4729279142,-115.4380532470578,-3178952.5569801438,-934463.5550303616,-6123644.941101715
435959.7908939983,362038157027.2427,18367993060184.34,115478895157868.61,134208926375080.03,102622341756.91362,0.0,4197530.307444771,102626539287.22063,301647792760.7517,0.0,12745177471.314117,314392970232.0659,-16204088.97151659,-1086635.5196232551,-115.38786633534306,-3023721.313091005,-897820.8445502608,-5882838.701877887
483155.76998339815,358452674106.8686,18186084216366.26,114335302659685.86,132879839550156.48,98579531049.00836,0.0,4032168.4556088345,98583563217.4632,289445707464.8199,0.0,12229617031.21389,301675324496.03394,-15872693.246712755,-1079218.6744019778,-115.3322341819101,-2873899.282613077,-861250.0044849594,-5642549.571039757
535071.346981738,354627002614.2914,17991989433012.965,113115099949675.66,131461716385303.61,94532666062.38506,0.0,3866640.772847737,94536532703.15787,277273946816.2493,0.0,11715337841.561382,288989284657.81067,-15534200.452414583,-1071403.5817246542,-115.27053176416428,-2729468.252384442,-824809.2863770354,-5403165.383078901
592178.4816799118,350548764572.32635,17785080712605.9,111814338673693.58,129949968150870.6,90490892739.0657,0.0,3701321.352835013,90494594060.41881,265156097926.73752,0.0,11203336501.290384,276359434428.0289,-15188787.373819029,-1063157.994538825,-115.20205396574181,-2590384.6205818625,-788564.2909804692,-5165119.171261294
654996.3298479031,346205399718.0288,17564720809042.494,110429012292609.72,128339938501370.6,86463407957.14102,0.0,3536586.3726668307,86466944543.51323,253116428939.1163,0.0,10694638384.356976,263811067323.4748,-14836633.494700048,-1054446.4350470821,-115.12600338665669,-2456582.811492392,-752583.6861862772,-4928862.3483742345
724095.9628326935,341584235817.4111,17330266795026.41,108955078507553.05,126626929538396.67,82459346703.72789,0.0,3372809.477931727,82462719513.20573,241179254096.88165,0.0,10190270812.738867,251369524909.61963,-14477915.98299918,-1045229.7990862941,-115.04147617406254,-2327978.729709727,-716936.7988833445,-4694849.551910292
800105.5591159628,336672573563.4827,17081074369347.818,107388486337031.98,124806233279945.5,78487697999.45552,0.0,3210358.3437955207,78490908357.7998,229368552115.65762,0.0,9691246931.911886,239059799047.5666,-14112805.910012547,-1035464.9163171079,-114.9474455490725,-2204472.972236958,-681692.2386895058,-4463529.944076525
