t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,2117459030.2789075,7531886850569.28,142926774345136.16,150460778654735.2,-270996317272.09546,0.0,-32242649.673085865,-271028559921.7655,884869190339.4545,0.0359412346118988,1778703287083.5088,2663572477422.986,597869.7970163319,-2084.7968056330283,-206.74384780653648,-0.01902080766341924,-1456.1705660182718,-76231.88886730763,-2222127.9140324127
105.0,5938154208.473295,8969922708591.09,141432366312168.06,150408227174967.84,-303796209431.79443,0.0,-29617281.846573815,-303825826713.6429,1372937732192.4324,0.0359412346118988,1288641723324.221,2661579455516.6675,1301280.6574488836,-11608.819220019119,-1160.653786710049,-0.10959322734762751,-7882.119909133163,-247304.62426148698,-7192810.916262704
165.5,16785712808.192125,11064608844887.238,139326656006158.77,150408050563854.94,-303454977321.7322,0.0,-24337037.191307988,-303479314358.9239,1839146657392.3442,0.0359412346118988,818364342037.5823,2657510999429.986,2444588.5676260246,-64373.96981184667,-6436.19230020937,-0.6077550564014225,-43706.026848757705,-683325.3257125545,-19739469.21627544
232.05,46113838156.08347,13530677910675.621,136832149881207.33,150408941630038.53,-300647458030.204,0.0,-19928683.286296584,-300667386713.4894,2180779035478.802,0.0359412346118988,468360117274.1513,2649139152752.9814,4424090.3032404315,-341355.05636818666,-34128.9810210916,-3.22272937656575,-231755.09635588783,-1646118.4231943183,-46732308.043084495
305.25500000000005,122629196535.46715,16385060707979.0,133901513364113.98,150409203268627.06,-295921986681.09174,0.0,-16299401.78317689,-295938286082.87427,2381136082562.4463,0.0359412346118988,251930840452.17004,2633066923014.662,7829515.623654429,-1720069.2537299288,-171972.789044624,-16.23922344243796,-1167702.187594002,-3595291.8438641033,-98224037.75641492
385.7805000000001,314461182729.4733,19621708694327.24,130470866309549.1,150407036186604.62,-289150422956.1325,0.0,-13312806.684260633,-289163735762.81775,2472847163302.918,0.0359412346118988,131849541195.07236,2604696704498.005,13752318.671651954,-8188294.566032779,-818644.200209844,-77.30840334836778,-5556398.090454663,-7362136.877267393,-186868388.46829146
474.35855000000015,774563376043.2671,23195355793632.65,126424110245028.03,150394029414704.3,-276277260329.18896,0.0,-10701239.520533519,-276287961568.70905,2488149635264.1494,0.0359412346118988,68519619740.549385,2556669255004.7363,23469618.654499207,-36618104.51842893,-3660508.2240200136,-345.7803722817763,-24796475.796529,-14422681.605562579,-324354226.9834632
571.7944050000002,1824073274747.376,26987351377148.04,121521765416275.25,150333190068172.66,-233089745788.82468,0.0,-7647534.25453465,-233097393323.0793,2437733460372.5835,0.0359412346118988,35589460394.87788,2473322920767.492,34299759.42117045,-152875984.47856435,-15273149.618713051,-1444.666506420059,-102562716.84058839,-27220732.5675494,-515693132.62784207
678.9738455000003,2283068919684.917,28018331473807.6,119934787675014.45,150236188068507.03,-167568790428.1629,0.0,-5261102.614176253,-167574051530.77725,2350545445827.9185,0.0359412346118988,29002025945.64141,2379547471773.6167,28228414.193600867,-222615106.98575738,-22219603.31603332,-2106.149659754528,-147222214.69720897,-32309626.305773318,-520069059.67225903
796.8712300500003,2281460967940.5815,27998599160069.984,119850307123197.73,150130367251208.62,-95628394133.14809,0.0,-3002413.475173552,-95631396546.62303,2259466256734.467,0.0359412346118988,27878252123.141857,2287344508857.6445,15867276.209932726,-222333819.81684983,-22168995.939572457,-2106.116488917364,-144822333.8587922,-32566023.74326383,-454305072.6281009
926.5583530550005,2279707984735.0483,27977086247307.312,119758224255849.19,150015018487891.0,-18774484660.226852,0.0,-589456.3665936384,-18775074116.593487,2169515357269.7776,0.0359412346118988,26768400190.60729,2196283757460.406,2683488.9764823946,-222033115.95690203,-22114930.849913426,-2106.079251333272,-142330582.83690912,-32918101.678529385,-402650830.7215373
1069.2141883605007,2277798228105.569,27953649384071.582,119657906204676.83,149889353816853.88,60542821474.08651,0.0,1900843.2026030975,60544722317.28894,2081853491320.2515,0.0359412346118988,25686791288.493816,2107540282608.7883,-10941117.91579849,-221711987.7045257,-22057493.777760714,-2106.037478455632,-139751822.3093531,-33306716.991268568,-360553354.88871676
1226.1356071965508,2275718728638.2505,27928129407523.055,119548671699125.5,149752519835286.84,140399409108.53397,0.0,4408074.416822554,140403817182.95114,1997506533365.5515,0.0359412346118988,24646083096.09023,2022152616461.6858,-24654991.91906672,-221369342.35719144,-21996827.16111984,-2105.990641238803,-137091631.14477146,-33624686.04680372,-325278898.30202305
