t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 15: solute,Flux surface 14: solute,Flux surface 13: solute
317562.5195049621,181544316360976.2,2036765066104.4536,15914308219127.664,-4421305.118081553,-193529302589.5253,-218284936.48998988,-54442057.651524186,-4.730529454844029e-26,-32810891037.974716
368796.89743070636,182781488226312.2,2074315381220.12,16638726629673.658,-4137797.977635323,-193532391295.68265,-221150817.2185725,-56372867.14005164,-3.7495858487115824e-25,-32811176332.55119
427716.43204531225,183965542850950.1,2105052839934.2837,17260281008456.531,-3917183.0635686093,-193534888807.24527,-223343597.71370468,-57871500.43233046,-2.1874488281062406e-24,-32811425141.03617
495473.896852109,185102741432991.12,2130127430242.1484,17792944662331.31,-3749318.365724409,-193536922982.11877,-225003906.29305732,-59018410.8408454,-8.975498474610432e-24,-32811642690.690407
573394.9813799253,186198057238268.03,2150587947208.1277,18250836479929.168,-3623458.2718059486,-193538589203.07642,-226254265.88625175,-59889063.96962614,-2.3440811532571088e-23,-32811833291.613144
663004.228586914,187255540816464.97,2167342927877.7595,18646996170352.492,-3529755.4334915504,-193539959948.42175,-227195849.49156988,-60548641.52027942,-1.50969995024716e-23,-32812000531.04254
766054.8628749511,188278575330615.97,2181145583121.0957,18992711951382.008,-3459984.2142559434,-193541091364.90988,-227908339.32246727,-61049995.4418296,2.0931034008315544e-22,-32812147426.53494
884563.0923061937,189270043995978.8,2192599298689.234,19297308311252.414,-3407713.7447003494,-193542027742.78226,-228452096.0200658,-61433953.159937024,1.3459426767050356e-21,-32812276545.05461
1020847.5561521226,190232432611386.56,2202176302599.251,19568246758371.375,-3368153.174335036,-193542804525.2975,-228871542.13857937,-61730965.45133693,5.232213671913714e-21,-32812390092.822437
1177574.6895749408,191167891201771.88,2210241796047.6533,19811391261691.65,-3337849.69856506,-193543450336.37695,-229198793.0994404,-61963246.65402055,1.5686479261191505e-20,-32812489981.000374
1357810.8930111818,192078276050730.84,2217077798670.546,20031323578941.812,-3314360.926694747,-193543988391.74857,-229456909.89531332,-62146844.75126228,3.91297093639181e-20,-32812577873.112797
1565082.526962859,192965186628349.06,2222903563573.273,20231638339641.992,-3295967.0064775157,-193544437545.4215,-229662500.34426272,-62293364.71110888,8.4329409167737e-20,-32812655220.27529
1803444.9060072878,193830003326702.8,2227891572232.2676,20415186476062.29,-3281446.4899196764,-193544813121.06235,-229827647.05500376,-62411275.66143011,1.6076191949605527e-19,-32812723289.379128
2077561.6419083807,194673924587159.06,2232179409365.9336,20584261242841.55,-3269915.5344874533,-193545127600.46457,-229961268.12398958,-62506845.37111415,2.7574451791347327e-19,-32812783187.60536
2392795.8881946374,195497998380054.88,2235878332399.2266,20740734061531.547,-3260719.0808045478,-193545391194.9705,-230070051.65227348,-62584785.84601331,4.3128021330444415e-19,-32812835884.687233
2755315.271423833,196303143782645.25,2239079388115.8843,20886151558911.07,-3253360.0035653496,-193545612307.67764,-230159090.996622,-62648693.140761025,6.21784413457205e-19,-32812882232.84325
3172212.5621374077,197090162250025.47,2241857775732.356,21021804534043.797,-3247453.7468923633,-193545797894.54324,-230232317.46626908,-62701347.566622496,8.330622359884588e-19,-32812922983.684982
3651644.4464580184,197859742391546.94,2244275983933.7974,21148777247376.652,-3242698.9935500515,-193545953739.7886,-230292798.3354241,-62744921.39421364,1.0414080098150024e-18,-32812958801.65678
4202991.113426721,198612464068623.47,2246386098632.9,21267983117998.95,-3238858.015592682,-193546084666.16238,-230342946.10908931,-62781125.5925798,1.2104521894488036e-18,-32812990274.326077
4837039.780440728,199348806405251.72,2248231579986.659,21380191256315.98,-3235742.820443661,-193546194700.06128,-230384669.5992107,-62811316.13878945,1.2830072099743967e-18,-32813017920.53453
5566195.747506837,200069160915772.78,2249848717693.6904,21486047142691.727,-3233204.863018954,-193546287206.01797,-230419486.61502874,-62836573.120108895,1.1651503354206235e-18,-32813042197.56412
6404725.109632863,200773847686921.62,2251267885234.9087,21586089850610.99,-3231127.071602951,-193546364998.67242,-230448610.48766276,-62857761.05580804,6.985837439097967e-19,-32813063508.02638
7369033.876077792,201463131259403.38,2252514638513.2256,21680767309541.88,-3229417.4721521446,-193546430435.80347,-230473017.5529498,-62875575.719800785,-3.8749319855659145e-19,-32813082206.507843
8477988.95748946,202137233785448.16,2253610658355.076,21770450259650.527,-3228003.994161105,-193546485494.53943,-230493499.73146543,-62890580.75001376,-2.5680667424372644e-18,-32813098605.59067
9753287.301112879,202796344964812.2,2254574523946.9688,21855444937844.78,-3226830.2138359463,-193546531833.33044,-230510704.96214488,-62903236.17768286,-6.722518964351602e-18,-32813112980.917988
10000000.0,202919775147357.62,2254750845580.4927,21871255670310.645,-3226618.309793493,-193546540223.60144,-230513818.8993488,-62905528.90302292,-7.591008933891955e-18,-32813115608.54946
