t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,2238538654487.492,27402046936734.95,117216076615817.47,146856662207038.53,508320964385.8187,0.0,15010051.12717536,508335974436.94604,1645697722485.2295,0.0,19454905983.864452,1665152628469.0835,-302254956.5606978,-21010657.270589188,-2077.5472405846645,-118448558.5504193,-25267373.83238595,-208724333.00635833
7560.0,2196412895842.2163,26886385881028.83,115010383931471.9,144093182708346.12,755936271462.6107,0.0,22321806.254926026,755958593268.8705,1544178577671.883,0.0,18254777234.251617,1562433354906.1353,-336686168.90199685,-20627399.70627068,-2076.1292632564896,-94550423.34914897,-19921388.679304484,-122807514.09461942
11916.0,2154197715849.2612,26369630154731.387,112800004507819.17,141323832378399.44,801169659105.445,0.0,23657488.842145003,801193316594.2897,1578148081435.107,0.0,18656351492.83651,1596804432927.9568,-338513702.82990575,-20282373.61456398,-2074.5523555269165,-79057411.65768766,-17461235.24915124,-107858453.98942313
16707.600000000002,2111370990083.8142,25845388407473.3,110557599101766.89,138514358499324.22,778712535927.5605,0.0,22994359.460178588,778735530287.021,1590805329332.8755,0.0,18805980176.7777,1609611309509.6543,-329808198.79836136,-19961527.77623072,-2072.7917942003355,-67962313.40049921,-16565805.04600018,-106205512.23717217
21978.360000000004,2067595077981.9148,25309527568104.39,108265488000310.27,135642610646397.39,733386048917.925,0.0,21655927.77068474,733407704845.6945,1554083908508.9397,0.0,18371871290.50234,1572455779799.4402,-317577316.80330205,-19653940.32643052,-2070.8231865318203,-59494487.58711214,-15986053.721199807,-104565907.07884245
27776.196000000007,2022627546304.9126,24759079998835.95,105910976597632.92,132692684142772.47,680809773890.4362,0.0,20103419.353283156,680829877309.7893,1477773288235.5916,0.0,17469752412.574345,1495243040648.1619,-304174108.8078511,-19351779.77993489,-2068.6200216006923,-52751541.06317127,-15242320.892329732,-100428703.94297047
34153.81560000001,1976282053697.9749,24191764682718.746,103484307277530.23,129652354013947.05,627115735480.5941,0.0,18517904.84974118,627134253385.4413,1378341551922.2168,0.0,16294303515.895632,1394635855438.1155,-290517170.2918887,-19049334.952450696,-2066.152229302176,-47216241.930339694,-14281555.70712633,-94269426.39655773
41169.19716000001,1928409463279.105,23605756022641.86,100977670451986.22,126511835937907.0,575037589951.6041,0.0,16980105.542737175,575054570057.1489,1269447423839.973,0.0,15006993352.987165,1284454417192.9495,-277025021.65485984,-18742209.333239965,-2063.3851085428987,-42565634.30952983,-13190169.823080951,-87067128.77623898
48886.116876000015,1878888080552.33,22999564343563.977,98384693412344.1,123263145836460.02,525841815699.9327,0.0,15527418.87760629,525857343118.81165,1160158329053.4973,0.0,13715013943.973097,1173873342997.4746,-263895198.14716047,-18426781.096929338,-2060.278374409991,-38585700.70184597,-12064242.483334458,-79603267.93547702
57374.72856360002,1827618560309.1313,22371973547929.9,95700173655266.08,119899765763505.5,480034519875.8399,0.0,14174789.534454094,480048694665.3735,1055610287886.2601,0.0,12479081600.218685,1068089369486.4825,-251204794.57229215,-18099857.480202805,-2056.785173908964,-35128415.71983551,-10970515.254735552,-72357468.54550579
