t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
3000.0,572920923477.4432,21917784600704.92,127652536941221.27,150143242465402.3,-55819781372.91662,0.0,-2290421.594926673,-55822071794.511154,1934795097968.409,2961.5230026874483,66419404638.261894,2001214505568.1958,3656578.326109866,-22168489.24503715,-2210785.4711557156,-1235.3295809506562,-14483911.410123337,-11577102.497570612,-131739618.7470138
6300.0,571816983532.8662,21875551993229.46,127406586390273.02,149853955367038.72,103441381744.11737,0.0,4244451.853170379,103445626195.97003,1550407077119.3254,2961.5230026874483,53223790112.66481,1603630870193.5068,-7545702.354858439,-22094828.777175467,-2197740.185495662,-1198.7663034932266,-13893008.093304688,-10467696.566484874,-78238807.18394192
9930.0,570628886012.1022,21830100030752.598,127141882677831.1,149542611594595.78,191049050623.51187,0.0,7839207.89981306,191056889831.41238,1298792615459.2803,2961.5230026874483,44586143554.259415,1343378761975.0605,-13353594.629779212,-22018821.884731058,-2184650.1989765046,-1162.6729467092573,-13326260.68617089,-8766254.822244229,-54176498.59889265
13923.000000000002,569350343570.0106,21781187999791.504,126857028208502.73,149207566551863.72,234296310583.31088,0.0,9613748.316370156,234305924331.62634,1128815284761.575,2961.5230026874483,38751007943.02825,1167566295666.1392,-15994722.199696902,-21940140.384934083,-2171682.8537354073,-1127.1349569390334,-12782865.417419452,-7093143.105372963,-40654605.18782778
18315.300000000003,567974419450.0192,21728550527231.777,126550477504308.38,148847002450989.12,252718819082.42117,0.0,10369668.713033427,252729188751.1332,1010228627926.1356,2961.5230026874483,34680056953.77606,1044908687841.4308,-16982199.53637324,-21858405.783906832,-2158956.9599295626,-1092.2139684313693,-12261723.446205625,-5727489.783744727,-32453174.595505055
23146.830000000005,566493682447.1228,21671903324219.234,126220574917517.8,148458971924183.6,257893461345.25168,0.0,10581996.889260136,257904043342.14047,924132612370.9452,2961.5230026874483,31724473771.63205,955857089104.099,-17146981.590193395,-21773206.17077062,-2146542.9448287683,-1057.9486581098693,-11761512.838202678,-4710153.660180126,-27321889.61789646
28461.513000000006,564900220572.915,21610943708937.445,125865557675673.8,148041401605184.88,256322211699.8023,0.0,10517524.689056028,256332729224.49054,858612025325.7266,2961.5230026874483,29475222444.15257,888087250731.4089,-16923365.73126245,-21684109.26470008,-2134467.812798263,-1024.3571248407673,-11280770.059040133,-3985661.1952774427,-24004944.967984073
34307.66430000001,563185642049.0972,21545350644611.61,125483556102926.11,147592092389586.06,251515977943.78085,0.0,10320313.21112665,251526298256.9919,806284920468.2604,2961.5230026874483,27678888963.736374,833963812393.5137,-16531233.752440663,-21590674.22991513,-2122723.248881877,-991.4405941165459,-10817975.17346793,-3477976.321989436,-21750447.107105445
40738.430730000015,561341073332.2922,21474784663945.95,125072593179675.12,147108718916953.3,245289431434.37158,0.0,10064822.841378555,245299496257.21234,762676669986.6729,2961.5230026874483,26181864335.94985,788858537284.1371,-16076798.661184935,-21492461.74119186,-2111275.0539736594,-959.1880733947331,-10371634.872409433,-3119793.5539620044,-20115335.830410235
47812.27380300002,559357154948.0673,21398887709743.12,124630583613852.8,146588828478542.8,238532998396.385,0.0,9787589.936688544,238542785986.32007,725104692668.3685,2961.5230026874483,24892058536.37626,749996754166.267,-15607808.74439258,-21389041.52029186,-2100072.3062144853,-927.5814783636434,-9940357.088568633,-2860295.4590793196,-18847728.091225464
55593.501183300024,557224034932.8042,21317282884009.01,124155332378957.38,146029839297900.2,231655250282.78125,0.0,9505379.178956902,231664755661.95892,691940682559.7411,2961.5230026874483,23753573631.27217,715694259152.5325,-15143378.64341383,-21279996.796163667,-2089055.1061228702,-896.600704352256,-9522911.422124645,-2664420.0379677233,-17808270.710849382
64152.85130163003,554931359731.6069,21229574099731.62,123644532684993.0,145429038144456.12,224824930679.84717,0.0,9225114.528548585,224834155794.37448,662149332583.4792,2961.5230026874483,22730868665.878487,684880204210.881,-14689490.414739896,-21164925.493942007,-2078160.3202555105,-866.2281387546032,-9118270.921365105,-2509397.2773484145,-16920037.182690974
